Fakultät	Veranstaltungstitel	Bisonlink	Veranstaltungsart	SWS	Sprache	Tag	Personen
missing	Module, Leistungspunkte und Co - Wie ist mein Studium aufgebaut?	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50721&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Sonstige Veranstaltung	missing	deutsch	Di.	missing
Fakultät Architektur und Urbanistik	7. Planungsprojekt: Wohnungsfragen in der Zwischenstadt: Erkundungen rund um München	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51382&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projekt	8	deutsch	Do.	Carsten Praum :3 S: Barbara Schönig
Fakultät Bauingenieurwesen	Building Information Modeling im Ingenieurbau	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50893&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	4	deutsch	Mi.	Christian Koch
Fakultät Medien	Datafizierung des Medienmanagements	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51296&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	2	deutsch	Mi.	Christopher Buschow
Fakultät Kunst und Gestaltung	Critical VR Lab I	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51544&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Fachmodul	4	englisch	Do.	Jörg Brinkmann
Fakultät Medien	Academic English Part Two	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50463&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Kurs	2	englisch	Mi.	Geoffrey Atkinson
Fakultät Medien	Introduction to Machine Learning	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51502&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Vorlesung	4	englisch	Do.	Benno Stein :3 S: Janek Bevendorff :3 S: Michael Völske
Fakultät Architektur und Urbanistik	Einführung in die Programmierung	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50981&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Vorlesung	4	deutsch/englisch	Do.	Rhadames Carmona Suju :3 S: Felix Schmidt :3 S: Nicolai Ruckel :3 S: Benjamin Burse
Fakultät Medien	Forschungskolloquium "Wettbewerbsökonomie und -politik"	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51165&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	2	deutsch	Di.	Björn Kuchinke
Fakultät Kunst und Gestaltung	"New card. What do you think?” (How To: Portfolio)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51795&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Fachmodul	6	englisch	missing	Katrin Steiger :3 S: keine öffentliche Person
Fakultät Architektur und Urbanistik	KlimaLAND Nordhausen	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51401&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	2	deutsch	Fr.	Pia Müller :3 S: Atidh Langbein
missing	Exkursion	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51568&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Exkursion	missing	deutsch/englisch	missing	Heike Büttner-Hyman :3 S: Clemens Helmke
Fakultät Architektur und Urbanistik	Kartierung eines Ortes und Fundus	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51353&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	4	deutsch/englisch	Mi.	Jose Gutierrez :3 S: Steve Liem :3 S: Lorenz Kirchner :3 S: Juliane Steffen
missing	Erstes Treffen mit den Tutoren (First meeting with the tutors)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50727&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Sonstige Veranstaltung	missing	missing	Mo.	missing
Fakultät Kunst und Gestaltung	Freies Projekt - Bild-Text-Konzeption - Master	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50320&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	18	deutsch	missing	Burkhart von Scheven :3 S: Masihne Rasuli :3 S: keine öffentliche Person
Fakultät Kunst und Gestaltung	Graduiertenseminar: Introduction to Methodology 2	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51439&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Graduiertenseminar	2	deutsch/englisch	missing	Jan Willmann
Fakultät Medien	Hot Topics in Computer Vision WiSe21/22	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51658&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projekt	missing	englisch	missing	Volker Rodehorst :3 S: Mariya Kaisheva :3 S: keine öffentliche Person :3 S: Christian Benz
missing	Masterkolloquium Professur Stadtplanung	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50379&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Kolloquium	2	deutsch	missing	Barbara Schönig
Fakultät Bauingenieurwesen	Bauweisen des Konstruktiven Ingenieurbaus I - Konstruktionen des Holz- und Mauerwerksbaus (Nachhaltiges Bauen)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50834&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Vorlesung	2	deutsch	Mo.	Lars Abrahamczyk :3 S: Martin Kästner :3 S: Sebastian Rau
Fakultät Medien	Augen Ohren Hören	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51318&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	2	deutsch	Sa.	Makiko Nishikaze
Fakultät Kunst und Gestaltung	Konsumkulturen	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51574&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Wissenschaftliches Modul	2	deutsch	Mi.	Alexander Schwinghammer :3 S: keine öffentliche Person
Fakultät Kunst und Gestaltung	Freies Projekt - Grafikdesign - Master	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50528&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	18	deutsch	Fr.	Markus Weisbeck :3 S: Adrian Palko :3 S: keine öffentliche Person
Fakultät Bauingenieurwesen	Institutionenökonomik (IÖK)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50990&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	4	deutsch	Mi.	Thorsten Beckers :3 S: Marten Westphal :3 S: Tim Becker
missing	Begrüßung der Studienanfänger/innen und Vorstellung der Tutoren/innen (New student reception and introduction of the tutors)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50705&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Informationsveranstaltung	missing	missing	Mo.	missing
Fakultät Bauingenieurwesen	Baubetrieb, Bauverfahren und Arbeitsschutz	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50809&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	5	deutsch	Fr.	Hans-Joachim Bargstädt :3 S: Sebastian Seiß :3 S: Birgit Bode
Fakultät Kunst und Gestaltung	Klangwerkstatt B (MA)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51590&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	16	deutsch/englisch	Di.	Maximilian Marcoll :3 S: keine öffentliche Person :3 S: Robert Rehnig
Fakultät Bauingenieurwesen	Aluminiumbau	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50847&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	4	deutsch	Do.	Matthias Kraus :3 S: Jörg Hildebrand :3 S: Silvio Mämpel :3 S: María Moscoso Avila
missing	Doktorandenkolloquium Professur Stadtplanung	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50635&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Kolloquium	2	deutsch	Fr.	Barbara Schönig
missing	Baustoffe für den Holz- und Mauerwerksbau - Technische Natursteinkunde	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50790&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	2	deutsch	Do.	Holger Kletti
Fakultät Kunst und Gestaltung	"Das hat mich schon immer interessiert" - Eine Publikation	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51426&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	18	deutsch/englisch	Mi.	Tilman Schlevogt :3 S: Jonas Beuchert :3 S: Lena Vogel :3 S: Stefanie Schwarz :3 S: keine öffentliche Person
Fakultät Kunst und Gestaltung	Holzwerkstatt	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50690&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Werkstattkurs	missing	deutsch	missing	Andreas Riese
missing	Finances and perspectives	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50698&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Informationsveranstaltung	missing	englisch	Fr.	missing
Fakultät Medien	(An-)Ordnungen des Archivs	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51273&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	2	deutsch	Di.	N.N. :3 S: Jörg Paulus
Fakultät Architektur und Urbanistik	|5. Kernmodul: Das Synagogen-Projekt || Rekonstruktionen als gebaute Zeichen|	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51609&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Entwurf	8	deutsch/englisch	Di.	Jörg Springer :3 S: Martin Pasztori :3 S: Manuel Aust :3 S: Sebastian Schröter :3 S: Juliane Steffen
Fakultät Architektur und Urbanistik	Freies Projekt - StadtArchitektur	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50631&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	8	deutsch	Do.	Andreas Garkisch
Fakultät Medien	Einführung in die medienwissenschaftliche Archivtheorie	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=51268&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	2	deutsch	Fr.	Fabian Winter
Fakultät Bauingenieurwesen	Messtechnik in der Abfall- und Siedlungswasserwirtschaft	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50752&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	4	deutsch	Di.	Eckhard Kraft :3 S: Thomas Haupt :3 S: keine öffentliche Person :3 S: Ralf Englert
missing	Abfallwirtschaft und biologische Verfahrenstechnik	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=50788&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	missing	deutsch	Do.	Eckhard Kraft :3 S: keine öffentliche Person :3 S: Thomas Haupt
