imdbId,tmdbId,title,originalTitle,releaseDate,runtime,genres,productionCountries,originalLanguage,spokenLanguages,budget,revenue,imdbRating,imdbVotes,tmdbRating,tmdbVotes,tmdbPopularity,overview,tagline
tt0479952,10527,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,2008-10-30,89,"Family,Adventure,Animation,Comedy",US,en,"it,en",150000000,603900354,6.6,206756,6.4,5131,46.359,"Alex, Marty, and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home.",Still together. Still lost!
tt0988045,10528,Sherlock Holmes,Sherlock Holmes,2009-12-23,129,"Action,Adventure,Crime,Mystery","AU,DE,GB,US",en,"en,fr",90000000,524028679,7.6,585133,7.2,11216,28.527,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",Nothing escapes him.
tt0462465,10529,Outlander,Outlander,2008-04-24,115,"Fantasy,Action,Science Fiction","DE,US",en,en,50000000,7033683,6.2,72029,6.3,851,20.688,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",It destroyed his world. He won't let it destroy ours.
tt0114148,10530,Pocahontas,Pocahontas,1995-06-14,81,"Adventure,Animation,Family,Romance",US,en,en,55000000,346079773,6.7,171550,7.0,4388,38.533,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",An American legend comes to life.
tt0117723,10535,Spy Hard,Spy Hard,1996-05-24,81,"Action,Comedy",US,en,en,18000000,0,5.4,36106,5.3,398,13.997,"The evil Gen. Rancor has his sights set on world domination, and only one man can stop him: Dick Steele, also known as Agent WD-40. Rancor needs to obtain a computer circuit for the missile that he is planning to fire, so Steele teams up with Veronique Ukrinsky, a KGB agent whose father designed the chip. Together they try to locate the evil mastermind's headquarters, where Veronique's father and several other hostages are being held.",All the action. All the women. Half the intelligence.
tt0064505,10536,The Italian Job,The Italian Job,1969-06-02,99,"Action,Crime,Comedy,Thriller",GB,en,"en,it",3000000,0,7.3,42243,7.0,459,9.519,"Charlie's got a 'job' to do. Having just left prison he finds one his of friends has attempted a high risk job in Torino, Italy, right under the nose of the mafia. Charlie's friend doesn't get very far, so Charlie takes over the 'job'. Using three Mini Coopers, a couple of Jaguars and a bus, he hopes to bring Torino to a standstill, steal a fortune in gold and escape in the chaos.",Introducing the plans for a new business venture.
tt0101761,10537,The Doors,The Doors,1991-03-01,140,"Music,Drama",US,en,en,38000000,34416893,7.2,84109,7.1,883,19.609,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison.","The Ultimate Story of Sex, Drugs & Rock 'N' Roll"
tt0105104,10538,Passenger 57,Passenger 57,1992-11-06,84,"Action,Adventure,Thriller",US,en,en,15000000,44065653,5.9,45375,5.8,647,11.601,"An infamous terrorist has evaded capture for a long time by being extremely clever and ruthless. Things get interesting when he hijacks a plane carrying famous security expert John Cutter, who isn't about to stand this sort of thing.","He's an ex-cop with a bad mouth, a bad attitude, and a bad seat. For the terrorists on flight 163 . . . he's very bad news."
tt0116683,10539,James and the Giant Peach,James and the Giant Peach,1996-04-12,79,"Adventure,Animation,Family,Fantasy,Music",US,en,en,38000000,28946127,6.7,60502,6.5,938,12.522,"When the young orphan boy James spills a magic bag of crocodile tongues, he finds himself in possession of a giant peach that flies him away to strange lands.",Adventures this big don't grow on trees.
tt0082869,10540,Outland,Outland,1981-05-22,112,"Science Fiction,Mystery",GB,en,en,16000000,17374595,6.6,27465,6.4,369,12.273,"An honest marshal in a corrupt mining colony on Io, Jupiter's sunless third moon, is determined to confront a violent drug ring even though it may cost him his life. After his wife angrily deserts him, he waits alone for the arrival of killers hired by the company to eliminate him.",On Jupiter's moon something deadly is happening.
tt0116287,10543,Fear,Fear,1996-04-12,97,Thriller,US,en,en,0,0,6.3,42437,6.2,435,13.359,A 16 year old girl takes up with a charming young man who quickly shows his colors when he beats a friend simply for walking with her and then goes totally ballistic after she tries to break up with him.,Together forever. Or else.
tt0277941,10544,Ned Kelly,Ned Kelly,2003-03-22,110,"Action,Adventure,Drama,History","AU,FR,GB,US",en,en,0,6585516,6.5,25978,6.1,253,11.949,"After getting threatened by Kelly's friends and family, Constable Fitzpatrick places the blame on Ned Kelly and exaggerates what happened. With the biggest ever award available, Kelly and his gang set into the wild, to remain hidden from everyone who seeks them. Even if it means having his family arrested, the members of the Kelly Gang stay hidden and plan a way to get their names cleared.",The British Empire branded them as outlaws. The oppressed called them heroes.
tt0116583,10545,The Hunchback of Notre Dame,The Hunchback of Notre Dame,1996-06-21,91,"Drama,Animation,Family",US,en,"la,en",100000000,100138851,6.9,142871,7.1,3756,34.156,"At the urging of his gargoyle pals, Quasimodo leaves the solitary safety of his Notre Dame tower against the wishes of his guardian, the evil Judge Claude Frollo. He ventures out to the Festival of Fools and finds his first true friend, a Romani woman named Esmeralda, who entrusts him with a secret. When the secret is revealed, Quasi soon finds himself fighting to save the people and city he loves.",Join the party!
tt0115571,10547,The Arrival,The Arrival,1996-05-31,115,"Science Fiction,Thriller","MX,US",en,en,25000000,14063331,6.2,32957,6.1,486,15.868,"Zane Ziminski is an astrophysicist who receives a message that seems to have extraterrestrial origins. Eerily soon after his discovery, Zane is fired. He then embarks on a search to determine the origins of the transmission that leads him into a Hitchcockian labyrinth of paranoia and intrigue.",The greatest danger facing our world has been the planet's best kept secret... until now.
tt0116477,10549,Hamlet,Hamlet,1996-12-25,242,Drama,"GB,US",en,en,0,0,7.7,36084,7.4,315,8.691,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother now marrying the murderer... his uncle. Meanwhile, war is brewing.",
tt0307453,10555,Shark Tale,Shark Tale,2004-09-20,90,"Animation,Action,Comedy,Family",US,en,en,75000000,367275019,6.0,167708,6.0,4938,53.869,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",Behind every little fish is a great white lie.
tt0186151,10559,Frequency,Frequency,2000-04-28,118,"Science Fiction,Thriller",US,en,en,31000000,68106245,7.3,101618,7.2,1143,12.809,"When a rare phenomenon gives police officer John Sullivan the chance to speak to his father, 30 years in the past, he takes the opportunity to prevent his dad's tragic death.  After his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time.",The future is listening.
tt0198021,10564,Where the Heart Is,Where the Heart Is,2000-04-27,120,"Comedy,Drama,Romance",US,en,en,15000000,33771174,6.8,31813,7.1,479,13.111,"Novalee Nation is a 17-year-old Tennessee transient who has to grow up in a hurry when she's left pregnant and abandoned by her boyfriend on a roadside, and takes refuge in the friendly aisles of Wal-Mart. Eventually, some eccentric but kindly strangers 'adopt' Novalee and her infant daughter, helping them buck the odds and build a new life.",Laughter is harder... Friendship is stronger... Trust is deeper... When it comes from the heart.
tt0130623,10567,Dinosaur,Dinosaur,2000-05-19,82,"Animation,Family",US,en,en,127500000,354248063,6.5,53810,6.5,1743,62.724,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,You have never seen anything like this.
tt0196216,10569,Small Time Crooks,Small Time Crooks,2000-01-01,94,"Comedy,Crime",US,en,en,0,0,6.7,37058,6.5,428,14.211,A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.,They took a bite out of crime
tt0219653,10577,Dracula 2000,Dracula 2000,2000-12-22,99,"Thriller,Horror",US,en,en,28000000,47053625,4.9,32175,5.0,426,25.902,"Abraham Van Helsing, who has tangled with Count Dracula in the past, works as an English antiques dealer. Simon is a vampire hunter in training under his apprenticeship.",The Most Seductive Evil of All Time Has Now Been Unleashed in Ours.
tt0094862,10585,Child's Play,Child's Play,1988-11-08,87,Horror,US,en,en,9000000,44196684,6.6,88073,6.6,1833,52.032,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed by the soul of a serial killer.","Something's moved in with the Barclay family, and so has terror."
tt0116409,10586,The Ghost and the Darkness,The Ghost and the Darkness,1996-10-11,109,Adventure,"DE,US",en,en,50000000,38619405,6.9,56521,6.7,621,17.115,"Sir Robert Beaumont is behind schedule on a railroad in Africa. Enlisting noted engineer John Henry Patterson to right the ship, Beaumont expects results. Everything seems great until the crew discovers the mutilated corpse of the project's foreman, seemingly killed by a lion. After several more attacks, Patterson calls in famed hunter Charles Remington, who has finally met his match in the bloodthirsty lions.",Prey For The Hunters
tt0093756,10587,Police Academy 4: Citizens on Patrol,Police Academy 4: Citizens on Patrol,1987-04-02,88,"Comedy,Crime",US,en,en,0,28061343,5.0,40369,5.5,769,15.729,"A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail.","On land, on sea, or in the air, no place is safe from them!"
